City,Latitude,Longitude
Portland,45.523449,-122.676208
San Francisco,37.774929,-122.419418
Seattle,47.606209,-122.332069
Los Angeles,34.052231,-118.243683
San Diego,32.715328,-117.157257
Las Vegas,36.174969,-115.137222
Phoenix,33.44838,-112.074043
Albuquerque,35.084492,-106.651138
Denver,39.739151,-104.984703
San Antonio,29.42412,-98.493629
Dallas,32.783058,-96.806671
Houston,29.763281,-95.363274
Kansas City,39.099731,-94.578568
Minneapolis,44.979969,-93.26384
Saint Louis,38.62727,-90.197891
Chicago,41.850029,-87.650047
Nashville,36.16589,-86.784439
Indianapolis,39.768379,-86.158043
Atlanta,33.749001,-84.387978
Detroit,42.331429,-83.045753
Jacksonville,30.33218,-81.655647
Charlotte,35.227089,-80.843132
Miami,25.774269,-80.193657
Pittsburgh,40.44062,-79.995888
Philadelphia,39.952339,-75.163788
New York,40.714272,-74.005966
Boston,42.358429,-71.059769
Beersheba,31.25181,34.791302
Tel Aviv District,32.083328,34.799999
Eilat,29.55805,34.948212
Haifa,32.815559,34.98917
Nahariyya,33.005859,35.09409
Jerusalem,31.769039,35.216331
